Channel Index,Frame,Track ID,Steps, X (nm),Y (nm),Z (nm),Photon Count,Diffusion coeff. (um^2/s),Total Displacement,Duration (us)
1,1,4,7,38753.7,13452.7,0,12909.8,0.136666,2.06488,0
1,2,4,7,38898.8,13395.2,0,6923.86,0.136666,2.06488,0
1,3,4,7,38883,13398.4,0,12630.1,0.136666,2.06488,0
1,4,4,7,39060.1,13368.7,0,7396.3,0.136666,2.06488,0
1,5,4,7,38975.3,13298.1,0,1620.96,0.136666,2.06488,0
1,6,4,7,38918.6,13317.5,0,9183.22,0.136666,2.06488,0
1,7,4,7,38921,13349.1,0,2368.79,0.136666,2.06488,0
1,8,4,7,38974.5,13354.5,0,8745.05,0.136666,2.06488,0
1,1,7,6,46538.5,29785.3,0,1202.46,0.102442,0.73643,0
1,2,7,6,46424.9,29753.1,0,1058.94,0.102442,0.73643,0
1,3,7,6,46509.9,29784.3,0,1702.29,0.102442,0.73643,0
1,4,7,6,46460.1,29687,0,1273.03,0.102442,0.73643,0
1,5,7,6,46512.1,29783.9,0,2271.3,0.102442,0.73643,0
1,6,7,6,46473.7,29803.5,0,922.251,0.102442,0.73643,0
1,7,7,6,46452.7,29777,0,1975.38,0.102442,0.73643,0
1,1,8,5,44336.8,31565.3,0,17749,0.172676,0.987479,0
1,2,8,5,44379.4,31574.3,0,4592.44,0.172676,0.987479,0
1,3,8,5,44427.9,31524.2,0,4776.14,0.172676,0.987479,0
1,4,8,5,44398.7,31569.6,0,5192.84,0.172676,0.987479,0
1,5,8,5,44350.2,31783.1,0,3157.44,0.172676,0.987479,0
1,6,8,5,44365.9,31677.1,0,1935.98,0.172676,0.987479,0
1,1,12,7,48953.6,34982.9,0,2524.78,0.169913,0.212575,0
1,2,12,7,49114.3,34945.8,0,3237.35,0.169913,0.212575,0
1,3,12,7,48953.7,34972.2,0,2619.75,0.169913,0.212575,0
1,4,12,7,48953,35008.8,0,4041.85,0.169913,0.212575,0
1,5,12,7,49049.6,34970,0,1136.59,0.169913,0.212575,0
1,6,12,7,49061.4,34979.2,0,1387.03,0.169913,0.212575,0
1,7,12,7,48895.7,34984.3,0,3227.84,0.169913,0.212575,0
1,8,12,7,48932.4,34970,0,2171.29,0.169913,0.212575,0
1,1,13,11,31089.2,35403.6,0,4837.56,0.0367923,2.9185,0
1,2,13,11,31072.7,35380.7,0,4761.85,0.0367923,2.9185,0
1,3,13,11,31080.2,35386.3,0,3735.53,0.0367923,2.9185,0
1,4,13,11,31071,35367.3,0,5529.84,0.0367923,2.9185,0
1,5,13,11,31055.6,35361.2,0,5003.37,0.0367923,2.9185,0
1,6,13,11,31050.3,35352.2,0,5861.59,0.0367923,2.9185,0
1,7,13,11,31030.2,35358.9,0,5985.71,0.0367923,2.9185,0
1,8,13,11,30921.2,35298.9,0,3409.51,0.0367923,2.9185,0
1,9,13,11,30863.7,35228.1,0,1549.88,0.0367923,2.9185,0
1,10,13,11,30828.9,35218.3,0,2460.45,0.0367923,2.9185,0
1,11,13,11,30868.7,35224.2,0,3131.92,0.0367923,2.9185,0
1,12,13,11,30835.3,35175.3,0,1768.27,0.0367923,2.9185,0
1,1,16,17,28756.2,38505.2,0,1500.16,0.0332948,1.33292,0
1,2,16,17,28711,38502.7,0,921.725,0.0332948,1.33292,0
1,3,16,17,28688.2,38486.3,0,636.983,0.0332948,1.33292,0
1,4,16,17,28682.3,38526.1,0,1571.64,0.0332948,1.33292,0
1,5,16,17,28699.4,38528.1,0,1447.87,0.0332948,1.33292,0
1,6,16,17,28684.5,38526.3,0,1370.56,0.0332948,1.33292,0
1,7,16,17,28672.5,38521.2,0,1575.44,0.0332948,1.33292,0
1,8,16,17,28677.7,38481,0,1094.08,0.0332948,1.33292,0
1,9,16,17,28738.5,38510.9,0,1375.69,0.0332948,1.33292,0
1,10,16,17,28657.4,38536.7,0,1140.23,0.0332948,1.33292,0
1,11,16,17,28692.4,38502.5,0,1096.55,0.0332948,1.33292,0
1,12,16,17,28596.9,38549.2,0,833.901,0.0332948,1.33292,0
1,13,16,17,28661,38535.6,0,1436.65,0.0332948,1.33292,0
1,14,16,17,28634.4,38515.8,0,1578.63,0.0332948,1.33292,0
1,15,16,17,28567.3,38520.8,0,1708.43,0.0332948,1.33292,0
1,16,16,17,28604.3,38530.1,0,1487.73,0.0332948,1.33292,0
1,17,16,17,28607.8,38561.6,0,1579.52,0.0332948,1.33292,0
1,18,16,17,28603.5,38537,0,1246.2,0.0332948,1.33292,0
1,1,17,8,25214,38936,0,2040.09,0.201404,1.69023,0
1,2,17,8,25281,38992,0,3191.38,0.201404,1.69023,0
